hooktheory_id,url,title,artist,bpm,key_tonic,mode,genre,chord_complexity,melodic_complexity,chord_melody_tension,chord_progression_novelty,chord_bass_melody
4797075,https://www.hooktheory.com/theorytab/view/selena-gomez/shake-it-up,Shake It Up,Selena Gomez,,D,Minor,,27,9,87,15,42
12954710,https://www.hooktheory.com/theorytab/view/selena-gomez/single-soon,Single Soon,Selena Gomez,,,,,5,33,97,7,36
27693706,https://www.hooktheory.com/theorytab/view/selena-gomez/sober,Sober,Selena Gomez,,A,Major,,28,46,40,80,75
76860688,https://www.hooktheory.com/theorytab/view/selena-gomez/tell-me-something-i-dont-know,Tell Me Something I Don't Know,Selena Gomez,,G,Minor,,24,23,54,27,75
92701874,https://www.hooktheory.com/theorytab/view/selena-gomez/the-heart-wants-what-it-wants,The Heart Wants What It Wants,Selena Gomez,,G,Minor,,8,53,59,17,0
54270664,https://www.hooktheory.com/theorytab/view/selena-gomez/whiplash,Whiplash,Selena Gomez,,D,Minor,,36,61,69,25,77
6525491,https://www.hooktheory.com/theorytab/view/selena-gomez/who-says,Who Says,Selena Gomez,,E,Major,,53,14,76,85,11
68040028,https://www.hooktheory.com/theorytab/view/selena-gomez/wolves-%28feat-marshmello%29,Wolves (feat Marshmello),Selena Gomez,,D,Major,,31,47,49,39,50
65045938,https://www.hooktheory.com/theorytab/view/selena-gomez/write-your-name,Write Your Name,Selena Gomez,,A,Minor,,7,55,82,15,0
31573629,https://www.hooktheory.com/theorytab/view/billie-eilish/all-the-good-girls-go-to-hell,All the Good Girls Go to Hell,Billie Eilish,,,,,36,37,88,50,28
40037923,https://www.hooktheory.com/theorytab/view/billie-eilish/bad-guy,Bad Guy,Billie Eilish,,,,,27,60,60,55,26
70284272,https://www.hooktheory.com/theorytab/view/billie-eilish/bellyache,Bellyache,Billie Eilish,,E,Minor,,19,25,93,6,0
58416792,https://www.hooktheory.com/theorytab/view/billie-eilish/billie-bossa-nova,Billie Bossa Nova,Billie Eilish,,G,Minor,,90,28,48,88,12
23229968,https://www.hooktheory.com/theorytab/view/billie-eilish/birds-of-a-feather,Birds Of A Feather,Billie Eilish,,D,Major,,64,42,52,30,0
69374382,https://www.hooktheory.com/theorytab/view/billie-eilish/blue-%28born-blue%29,Blue (Born Blue),Billie Eilish,,,,,89,63,40,98,59
31750885,https://www.hooktheory.com/theorytab/view/billie-eilish/bury-a-friend,Bury A Friend,Billie Eilish,,,,,12,28,86,16,18
9179680,https://www.hooktheory.com/theorytab/view/billie-eilish/chihiro,Chihiro,Billie Eilish,,E,Minor,,81,8,36,98,0
81594555,https://www.hooktheory.com/theorytab/view/billie-eilish/copycat,COPYCAT,Billie Eilish,,,,,36,45,16,30,52
61765370,https://www.hooktheory.com/theorytab/view/billie-eilish/everybody-dies,Everybody Dies,Billie Eilish,,G,Minor,,43,56,73,53,62
77024716,https://www.hooktheory.com/theorytab/view/billie-eilish/goldwing,Goldwing,Billie Eilish,,D,Minor,,9,35,15,13,0
34892221,https://www.hooktheory.com/theorytab/view/billie-eilish/halleys-comet,Halley's Comet,Billie Eilish,,B,Major,,52,61,47,64,63
67861665,https://www.hooktheory.com/theorytab/view/billie-eilish/happier-than-ever,Happier Than Ever,Billie Eilish,,C,Major,,39,53,69,45,0
77508418,https://www.hooktheory.com/theorytab/view/billie-eilish/i-didnt-change-my-number,I Didn't Change My Number,Billie Eilish,,A,Minor,,6,44,72,22,0
58813700,https://www.hooktheory.com/theorytab/view/billie-eilish/i-love-you,i love you,Billie Eilish,,C,Major,,63,39,18,51,13
89353811,https://www.hooktheory.com/theorytab/view/billie-eilish/ilomilo,ilomilo,Billie Eilish,,C,Minor,,16,51,48,28,13
11008529,https://www.hooktheory.com/theorytab/view/billie-eilish/lamour-de-ma-vie,L'amour de Ma Vie,Billie Eilish,,A,Major,,43,70,58,35,12
71714203,https://www.hooktheory.com/theorytab/view/billie-eilish/listen-before-i-go,listen before i go,Billie Eilish,,A,Minor,,86,72,24,92,42
2315797,https://www.hooktheory.com/theorytab/view/billie-eilish/lost-cause,Lost Cause,Billie Eilish,,,,,65,21,42,71,94
69053859,https://www.hooktheory.com/theorytab/view/billie-eilish/lunch,Lunch,Billie Eilish,,B,Minor,,14,7,82,12,62
14361793,https://www.hooktheory.com/theorytab/view/billie-eilish/male-fantasy,Male Fantasy,Billie Eilish,,D,Major,,22,55,89,33,69
29685937,https://www.hooktheory.com/theorytab/view/billie-eilish/my-boy,my boy,Billie Eilish,,B,Minor,,70,74,94,42,49
19911453,https://www.hooktheory.com/theorytab/view/billie-eilish/nda,NDA,Billie Eilish,,G,Minor,,56,43,84,64,11
96527551,https://www.hooktheory.com/theorytab/view/billie-eilish/no-time-to-die,No Time To Die,Billie Eilish,,E,Minor,,73,52,92,77,27
55220493,https://www.hooktheory.com/theorytab/view/billie-eilish/ocean-eyes,Ocean Eyes,Billie Eilish,,G,Major,,26,46,25,26,76
69960331,https://www.hooktheory.com/theorytab/view/billie-eilish/oxytocin,Oxytocin,Billie Eilish,,E,Minor,,1,96,99,7,0
93151991,https://www.hooktheory.com/theorytab/view/billie-eilish/skinny,SKINNY,Billie Eilish,,A,Major,,65,92,26,22,0
1577916,https://www.hooktheory.com/theorytab/view/billie-eilish/the-diner,The Diner,Billie Eilish,,,,,60,94,76,73,18
79951031,https://www.hooktheory.com/theorytab/view/billie-eilish/the-greatest,The Greatest,Billie Eilish,,E,Minor,,,,,,
39714893,https://www.hooktheory.com/theorytab/view/billie-eilish/therefore-i-am,Therefore I Am,Billie Eilish,,,,,9,11,91,23,0
83687842,https://www.hooktheory.com/theorytab/view/billie-eilish/tv,TV,Billie Eilish,,G,Major,,,,,,
88269711,https://www.hooktheory.com/theorytab/view/billie-eilish/what-was-i-made-for,What Was I Made For,Billie Eilish,,C,Major,,47,58,50,34,51
19303081,https://www.hooktheory.com/theorytab/view/billie-eilish/when-the-partys-over,when the party's over,Billie Eilish,,E,Major,,42,38,16,50,77
70379423,https://www.hooktheory.com/theorytab/view/billie-eilish/wish-you-were-gay,wish you were gay,Billie Eilish,,G,Major,,63,18,59,36,69
56492316,https://www.hooktheory.com/theorytab/view/billie-eilish/you-should-see-me-in-a-crown,you should see me in a crown,Billie Eilish,,,,,17,70,75,18,12
89666573,https://www.hooktheory.com/theorytab/view/billie-eilish/your-power,Your Power,Billie Eilish,,A,Minor,,49,50,53,29,39
19007388,https://www.hooktheory.com/theorytab/view/maroon-5/all-night,All Night,Maroon 5,,D,Major,,60,67,83,32,22
2658727,https://www.hooktheory.com/theorytab/view/maroon-5/animals,Animals,Maroon 5,,E,Minor,,21,47,56,46,74
